Country,country_right,Year ,Unemployment rate (OECD data),"GDP per capita (USD, current prices, current PPPs. OECD data unless highlighted in yellow for World Bank data)",Population count
Austria,AUT,2009,5.4,40966.5,8341483
Austria,AUT,2010,4.9,42049.2,8361069
Austria,AUT,2011,4.6,44469.2,8388534
Austria,AUT,2012,4.9,46477.7,8426311
Austria,AUT,2013,5.4,47936.7,8477230
Austria,AUT,2014,5.7,48813.5,8543932
Austria,AUT,2015,5.8,49955.5,8629519
Austria,AUT,2016,6.1,52614.4,8739806
Austria,AUT,2017,5.6,54652.5,8795073
Austria,AUT,2018,4.9,56889.4,8837707
Austria,AUT,2019,4.6,59120.3,8887438
Austria,AUT,2020,6,55340,8901064
Belgium,BEL,2009,8,37787.6,10796498
Belgium,BEL,2010,8.4,39865.2,10895589
Belgium,BEL,2011,7.2,40943.3,10993616
Belgium,BEL,2012,7.6,42290.5,11067748
Belgium,BEL,2013,8.5,43672.7,11125033
Belgium,BEL,2014,8.6,44929.9,11179778
Belgium,BEL,2015,8.6,46214.1,11238474
Belgium,BEL,2016,7.9,48610.8,11295003
Belgium,BEL,2017,7.1,50725.9,11349081
Belgium,BEL,2018,6,52249.8,11403740
Belgium,BEL,2019,5.4,54545.4,11466871
Belgium,BEL,2020,5.55,52063,11522440
Bulgaria,BGR,2009,6.9,13925,7444443
Bulgaria,BGR,2010,10.3,14598.6,7395599
Bulgaria,BGR,2011,11.4,15661.2,7348328
Bulgaria,BGR,2012,12.4,16241.6,7305888
Bulgaria,BGR,2013,13,16581.8,7265115
Bulgaria,BGR,2014,11.5,17555.5,7223938
Bulgaria,BGR,2015,9.2,18342,7177991
Bulgaria,BGR,2016,7.7,20009.5,7127822
Bulgaria,BGR,2017,6.2,21447.2,7075947
Bulgaria,BGR,2018,5.3,22670.5,7025037
Bulgaria,BGR,2019,4.3,24505.9,6980380
Bulgaria,BGR,2020,5.1,9975.8,6951482
Croatia,HRV,2009,9.4,20008.6,4306315
Croatia,HRV,2010,11.9,19771.9,4296353
Croatia,HRV,2011,14,20732.4,4282913
Croatia,HRV,2012,16.3,21129,4269063
Croatia,HRV,2013,17.5,21775.4,4254469
Croatia,HRV,2014,17.5,22074.2,4238389
Croatia,HRV,2015,16.4,22989.6,4203604
Croatia,HRV,2016,13.3,24883.3,4174349
Croatia,HRV,2017,11.3,26666.1,4124531
Croatia,HRV,2018,8.5,28103.6,4080666
Croatia,HRV,2019,6.7,28594,4100650
Croatia,HRV,2020,7.5,13838.5,4058165
Cyprus,CYP,2009,5.5,33917.49,808038
Cyprus,CYP,2010,6.5,33445.91,829444
Cyprus,CYP,2011,8.1,33313.58,850882
Cyprus,CYP,2012,12.1,31914.7,863945
Cyprus,CYP,2013,16.1,30375,861938
Cyprus,CYP,2014,16.3,30043,852511
Cyprus,CYP,2015,15.2,31722,847662
Cyprus,CYP,2016,13.2,35609,851559
Cyprus,CYP,2017,11.3,37916,859520
Cyprus,CYP,2018,8.6,39859,869006
Cyprus,CYP,2019,7.3,41318,866348
Cyprus,CYP,2020,7.6,38603,888005
Czechia,CZE,2009,6.8,27662.3,10491492
Czechia,CZE,2010,7.4,27787,10517247
Czechia,CZE,2011,6.8,28999.8,10496672
Czechia,CZE,2012,7,29258.9,10509286
Czechia,CZE,2013,7,30828.5,10510719
Czechia,CZE,2014,6.2,32504.2,10524783
Czechia,CZE,2015,5.1,33918.4,10542942
Czechia,CZE,2016,4,36097.6,10565284
Czechia,CZE,2017,2.9,38991.6,10589526
Czechia,CZE,2018,2.3,41049.3,10626430
Czechia,CZE,2019,2.1,43301.1,10641311
Czechia,CZE,2020,2.55,42044,10693939
Denmark,DNK,2009,6.4,40370.9,5519441
Denmark,DNK,2010,7.8,43037.1,5543819
Denmark,DNK,2011,7.9,44407.9,5566856
