"","country","year","gdp_growth","pop_growth","pop","net_migr","unemp_nat","unemp_ilo","refugee","tax_gdp","income_l20","trade_gdp","gdp","internet_adoption","socialmedia","refugee_change","everyday_social_networks_imputed"
"1","BGR",2009,-2.722415576,-0.644281363,7444443,-6997,6.817,6.82,5375,18.58649864,6.8,92.6926456,6294.433392,45,NA,NA,12.6713118608626
"2","BGR",2010,2.226078677,-0.658275447,7395599,-8686,10.279,10.28,5519,17.87143156,6.3,103.3805223,6434.552431,46.23,18.3,144,18.3
"3","BGR",2011,2.746910765,-0.641228921,7348328,-11262,11.26,11.26,5676,17.88271515,6.4,117.4181039,6611.303845,47.97999305,18.2,157,18.2
"4","BGR",2012,1.334066,-0.579220596,7305888,-13770,12.27,12.27,2273,18.38533526,6.2,123.9713227,6699.503001,51.89998767,22.1,-3403,22.1
"5","BGR",2013,0.015418847,-0.559647217,7265115,-15243,12.941,12.94,4305,19.68628224,5.7,129.688683,6700.535988,53.0615,22.1,2032,22.1
"6","BGR",2014,1.524868111,-0.568389264,7223938,-15527,11.424,11.42,11026,19.56662077,6,130.2679914,6802.710324,55.49,31,6721,31
"7","BGR",2015,4.059411408,-0.638069468,7177991,-15356,9.143,9.14,16543,20.07780364,5.3,126.7355247,7078.860323,56.65625161,32.1,5517,32.1
"8","BGR",2016,3.751778785,-0.701382098,7127822,-14947,7.575,7.57,17794,20.33302996,5.4,122.8538796,7344.443503,59.82554766,32.2,1251,32.2
"9","BGR",2017,3.499175549,-0.730443175,7075947,-13560,6.164,6.16,19166,20.52322466,5.7,129.7397435,7601.438474,63.41010138,43.7,1372,43.7
"10","BGR",2018,3.439130063,-0.722080405,7025037,-12115,5.212,5.21,19906,19.91268917,5.7,128.9016126,7862.86183,64.78201069,46.88,740,46.88
"11","BGR",2019,4.770081953,-0.703905641,6975761,-11439,4.23,4.23,20438,20.48281509,5.7,124.6887012,8237.926783,67.94698094,46.8,532,46.8
"12","BGR",2020,-3.387987666,-0.600241518,6934015,-9902,5.125,5.12,21113,20.27821334,6.1,110.3285937,7958.82684,70.16248359,NA,675,45.1099609826127
"13","ROU",2009,-4.726982601,-0.833088755,20367487,-129392,6.859,6.86,1065,15.27283015,6,58.47283377,7921.220019,36.6,NA,NA,10.8404173017689
"14","ROU",2010,-3.328750364,-0.593959184,20246871,-112173,6.959,6.96,1019,16.24268072,5.7,69.83323164,7657.542379,39.93,11.8,-46,11.8
"15","ROU",2011,5.032437581,-0.491866213,20147528,-47867,7.177,7.18,1003,17.21630311,5.5,76.14260683,8042.90342,40.00999678,13.2,-16,13.2
"16","ROU",2012,2.379752336,-0.445177936,20058035,-21485,6.794,6.79,1263,17.15721394,5.3,76.53923335,8234.304602,45.87999425,17.9,260,17.9
"17","ROU",2013,0.642981501,-0.371323063,19983693,-13890,7.096,7.1,1747,17.76146056,5,81.40162118,8287.249657,49.7645,21.8,484,21.8
"18","ROU",2014,4.511416855,-0.374575498,19908979,-20445,6.802,6.8,2171,17.93983163,4.9,83.37870793,8661.122035,54.08,28.4,424,28.4
"19","ROU",2015,3.646553566,-0.470052228,19815616,-49612,6.812,6.81,2581,18.918309,5.1,83.52116278,8976.954489,55.76315563,30.2,410,30.2
"20","ROU",2016,3.449295219,-0.573660845,19702267,-64002,5.901,5.9,2880,17.1121252,5.6,85.89397864,9286.596151,59.50395129,35.6,299,35.6
"21","ROU",2017,8.823700768,-0.578007015,19588715,-58735,4.927,4.93,3911,15.58666386,5.3,87.15615667,10106.01761,63.74728218,36,1031,36
"22","ROU",2018,6.653765808,-0.587493307,19473970,-57865,4.187,4.19,4134,14.38335468,5.4,86.4706703,10778.44835,70.68127793,41.56,223,41.56
"23","ROU",2019,4.401721366,-0.526814822,19371648,-25453,3.912,3.91,3860,14.5605552,5.7,84.50306102,11252.88562,73.65747575,41.4,-274,41.4
"24","ROU",2020,-3.145541561,-0.550759893,19265250,-12724,5.035,5.03,3581,14.18428627,5.6,78.05911338,10898.92142,78.45526895,NA,-279,41.202505279165
"25","IRL",2009,-6.054811966,1.015663276,4535375,-18556,12.609,12.61,9561,22.06237631,7.7,173.5914943,45729.90323,67.38,NA,NA,15.7898355103435
"26","IRL",2010,1.130424127,0.544884384,4560155,-27110,14.534,14.53,9099,21.83998659,7.6,189.925491,46246.84509,69.85,23.8,-462,23.8
"27","IRL",2011,0.84005622,0.436072439,4580084,-26351,15.354,15.35,8234,21.84251898,7.4,187.7111148,46635.34459,74.88997297,18.9,-865,18.9
"28","IRL",2012,-0.551990987,0.423743803,4599533,-22002,15.451,15.45,6309,22.51982211,7.5,191.8803821,46377.92169,76.91999254,30.9,-1925,30.9
"29","IRL",2013,0.643273343,0.526556159,4623816,-12015,13.735,13.73,5991,22.93126264,7.3,189.4236569,46676.25849,78.2477,36.2,-318,36.2
