country_right,Year,EB_no,EBQ1_1,EBQ1_2,EBQ1_3,EBQ1_4,EBQ1_5,EBQ1_6,EBQ1_7,EBQ2_1,EBQ2_2,EBQ2_3,EBQ2_4
AUT,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUT,2010,74.2,14.3,11.8,7.9,5.3,9.1,36.4,15.2,14.2,50.8,24.9,10.1
AUT,2011,76.3,19.7,14.6,8.4,4.3,7.9,25.5,19.6,17.2,54.2,19.5,9.1
AUT,2012,78.1,21,13.9,8.5,3.7,8.3,28.9,15.7,15.2,52.1,24.2,8.5
AUT,2013,80.1,21,18.4,9.9,3.8,7.9,26.1,12.9,18.6,53,22,6.4
AUT,2014,82.3,32.4,12.9,5.8,3.9,5.9,22.7,16.3,20.1,55.4,20.1,4.4
AUT,2015,84.3,28.1,15.9,8.2,2.9,5.9,29.8,9.1,22,51.9,17.8,8.3
AUT,2016,86.2,34.6,20.1,8.4,1.8,3.2,25.3,6.5,23.2,49.6,19.7,7.5
AUT,2017,88.3,42.7,15.7,8.1,2.2,4.5,22.6,4.3,22.7,48.8,21.6,6.89
AUT,2018,90.3,41.68,12.72,9.56,3.29,3.26,23.85,5.64,22.03,51.24,18.61,8.12
AUT,2019,92.3,41.7,12.7,9.5,3.3,3.3,23.8,5.7,22,51.2,18.6,8.1
AUT,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEL,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEL,2010,74.2,21.6,9.7,5.7,2.4,7.8,43.9,8.9,6.2,46.5,30.3,17
BEL,2011,76.3,20.5,10.7,4.2,2.8,6.4,44.5,10.8,10.2,44.5,31.2,14.2
BEL,2012,78.1,27.8,13.8,4.9,3.6,6.4,28.2,5.3,14.1,43.4,27.6,15
BEL,2013,80.1,31.2,11.5,5.6,2.1,6.3,38.2,5.2,10.8,45.9,27.5,15.9
BEL,2014,82.3,36.7,12.8,5,2.2,5,32.2,6,11.1,48.8,24.9,15.3
BEL,2015,84.3,36.5,12.8,7.2,2.4,4.8,28.9,7.2,13.8,46.6,26.2,13.4
BEL,2016,86.2,42,10.4,7.2,3.4,5.7,30.3,1,12.7,53.6,24.2,9.6
BEL,2017,88.3,48.8,13.8,5.9,2,3.6,23.3,2.5,14.1,52.6,21.8,11.6
BEL,2018,90.3,43.64,18.63,7.94,3.53,4.4,19.97,1.9,11.56,56.46,23.25,8.73
BEL,2019,92.3,43,19,8,4,4,20,2,11.5,56.5,23.3,8.76
BEL,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGR,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGR,2010,74.2,18.3,6.6,3.8,2.1,7.5,35.7,26.1,34.4,51.7,8.2,5.8
BGR,2011,76.3,18.2,9.9,5.3,3.3,6.2,32.2,25,39.2,50.5,7.4,2.8
BGR,2012,78.1,22.1,11.9,4.4,2.5,3.5,35.8,19.6,38.1,49.8,8.2,3.9
BGR,2013,80.1,22.1,12.2,5.1,2.2,2.6,35.8,20.1,38.8,47.1,9.5,4.6
BGR,2014,82.3,31,11.5,2.9,1.5,5.1,29.9,18.2,39.2,41.5,12.2,7.1
BGR,2015,84.3,32.1,10,5.4,1.2,2.6,36,12.7,42.2,40,8.8,9
BGR,2016,86.2,32.2,13.6,4.9,1.3,1.7,40.7,5.6,41.3,42.2,8.9,7.5
BGR,2017,88.3,43.7,12.5,3.7,1.2,2,32.7,4.4,37.9,46.5,9.09,6.46
BGR,2018,90.3,46.88,11.2,3.95,1,2.51,27.14,7.32,34.74,46.93,11.47,6.86
BGR,2019,92.3,46.8,11.2,4,1,2.5,27.2,7.3,34.7,47,11.5,6.86
BGR,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYP,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYP,2010,74.2,15.8,8.7,3.8,2.4,6.1,43.2,20,40.2,42.4,12.9,4.5
CYP,2011,76.3,19.4,9.1,3,2,4.4,40.5,21.6,36.8,43.1,11.3,8.8
CYP,2012,78.1,26.5,9,2.8,1.4,2.6,40,17.7,38.5,42.8,11.7,7
CYP,2013,80.1,31.6,8.9,4.4,1.8,4.6,33.6,15.1,41.2,42.7,10,6.1
CYP,2014,82.3,37.3,6.4,2.2,1.2,7.4,35.3,10,38.1,44.4,9.3,8.2
