handle,page_id,year,total_posts,total_likes,total_shares,total_comments
50pluspartij,1552684,2011,1,2,0,0
50pluspartij,1552684,2012,65,1029,117,304
50pluspartij,1552684,2013,165,4037,628,1228
50pluspartij,1552684,2014,233,5656,1019,1461
50pluspartij,1552684,2015,268,16628,5774,4546
50pluspartij,1552684,2016,164,5124,1764,1543
50pluspartij,1552684,2017,372,24104,9807,9510
50pluspartij,1552684,2018,251,12827,9643,8568
50pluspartij,1552684,2019,232,16510,14422,12274
50pluspartij,1552684,2020,356,12803,8347,10322
50pluspartij,1552684,2021,223,5795,2569,9332
abv.alternativa,11959486,2014,155,4495,862,180
abv.alternativa,11959486,2015,532,1631,86,27
abv.alternativa,11959486,2016,598,1592,408,50
abv.alternativa,11959486,2017,566,7327,1408,126
abv.alternativa,11959486,2019,33,373,179,9
abv.alternativa,11959486,2020,1301,17606,4505,1558
ahazapartja,12065176,2013,14,60,138,0
ahazapartja,12065176,2014,718,40147,36372,3398
ahazapartja,12065176,2015,399,22781,32819,1502
ahazapartja,12065176,2016,319,7533,14873,550
ahazapartja,12065176,2017,382,8285,13167,550
ahazapartja,12065176,2018,243,6947,16989,930
ahazapartja,12065176,2019,313,7190,15267,875
ahazapartja,12065176,2020,282,3285,6498,267
ahazapartja,12065176,2021,32,178,138,51
ahorapodemos,303501,2014,1658,8237337,2364916,799415
ahorapodemos,303501,2015,1819,10343466,3700440,967407
ahorapodemos,303501,2016,1452,4146660,2519187,665499
ahorapodemos,303501,2017,2582,3640254,4140631,943924
ahorapodemos,303501,2018,3117,4204368,4636511,1102327
ahorapodemos,303501,2019,2216,3692969,3392248,1137969
ahorapodemos,303501,2020,4302,11421479,6446814,4008891
akcijamladih,14473604,2011,91,591,59,41
akcijamladih,14473604,2012,127,626,200,81
akcijamladih,14473604,2013,129,1045,344,122
akcijamladih,14473604,2014,154,1608,375,209
akcijamladih,14473604,2015,143,13195,2136,1317
akcijamladih,14473604,2016,188,25351,3254,1928
akcijamladih,14473604,2017,176,7276,1017,622
akcijamladih,14473604,2018,136,6885,2546,916
akcijamladih,14473604,2019,52,1874,370,396
akcijamladih,14473604,2020,117,5516,1231,882
akcijamladih,14473604,2021,9,171,371,94
alderomania,2630089,2015,432,40972,12396,1907
alderomania,2630089,2016,585,107547,39688,10638
alderomania,2630089,2017,690,104183,29150,13604
alderomania,2630089,2018,1170,172774,60299,41921
alderomania,2630089,2019,1078,192704,100515,75884
alderomania,2630089,2020,2753,348527,194512,156555
alliancecentriste,10088735,2010,147,146,0,31
alliancecentriste,10088735,2011,42,101,8,8
alliancecentriste,10088735,2012,2,8,6,9
alliancecentriste,10088735,2016,22,75,30,2
alliancecentriste,10088735,2017,7,73,59,21
alliancecentriste,10088735,2018,47,74,30,2
alliancecentriste,10088735,2019,112,321,173,21
alliancecentriste,10088735,2020,35,62,59,3
alliancecentriste,10088735,2021,1,3,1,0
alliancepartyni,348423,2012,501,1239,388,1485
alliancepartyni,348423,2013,680,3402,965,1069
alliancepartyni,348423,2014,483,6962,924,1114
alliancepartyni,348423,2015,524,10310,1547,1214
alliancepartyni,348423,2016,812,15731,3711,1438
alliancepartyni,348423,2017,779,36818,5151,3756
alliancepartyni,348423,2018,651,16650,2416,3394
alliancepartyni,348423,2019,955,79690,11070,13616
alliancepartyni,348423,2020,1239,46643,10878,7690
alternativdemokrateschreformpartei,519718,2012,66,86,24,4
alternativdemokrateschreformpartei,519718,2013,239,500,217,43
alternativdemokrateschreformpartei,519718,2014,198,592,285,105
alternativdemokrateschreformpartei,519718,2015,215,4948,1899,688
alternativdemokrateschreformpartei,519718,2016,301,5416,2443,1246
alternativdemokrateschreformpartei,519718,2017,397,6554,2634,1061
alternativdemokrateschreformpartei,519718,2018,321,12409,5960,2623
alternativdemokrateschreformpartei,519718,2019,222,20184,14542,5033
alternativdemokrateschreformpartei,519718,2020,523,42177,19053,11415
alternativefuerde,339088,2013,854,868126,237221,155110
alternativefuerde,339088,2014,708,845453,129468,116862
alternativefuerde,339088,2015,692,1093946,215749,201611
alternativefuerde,339088,2016,709,2712362,762001,734489
alternativefuerde,339088,2017,948,2399511,836418,696708
alternativefuerde,339088,2018,1220,2822999,1994935,769309
alternativefuerde,339088,2019,1102,3254070,2428495,1139802
alternativefuerde,339088,2020,1544,6450474,2779076,1645951
alternativet.dk,676322,2013,81,2572,272,275
alternativet.dk,676322,2014,1012,52883,10260,5533
alternativet.dk,676322,2015,1122,546397,85647,39736
alternativet.dk,676322,2016,1185,769788,90934,67784
alternativet.dk,676322,2017,1007,455779,54902,51562
alternativet.dk,676322,2018,611,186221,35543,35497
alternativet.dk,676322,2019,369,142380,22562,26654
alternativet.dk,676322,2020,459,77393,10287,20534
alternattiva,3196730,2012,394,487,82,64
alternattiva,3196730,2013,433,2192,516,174
alternattiva,3196730,2014,344,1245,180,67
alternattiva,3196730,2015,484,5788,1346,470
alternattiva,3196730,2016,551,3121,948,126
alternattiva,3196730,2017,535,9022,1551,939
alternattiva,3196730,2018,496,3557,988,421
alternattiva,3196730,2019,582,10321,2556,1004
alternattiva,3196730,2020,363,4199,737,485
altraeuropacontsipras,888313,2014,812,182412,91316,15168
altraeuropacontsipras,888313,2015,837,137515,55209,7017
altraeuropacontsipras,888313,2016,691,82115,40421,4894
altraeuropacontsipras,888313,2017,700,60513,24282,5597
altraeuropacontsipras,888313,2018,454,48321,21244,3809
altraeuropacontsipras,888313,2019,270,25603,11867,1950
altraeuropacontsipras,888313,2020,146,7311,6273,363
anobudelip,395251,2012,275,5552,2242,2745
anobudelip,395251,2013,637,101094,12822,26283
anobudelip,395251,2014,1809,284098,20699,78567
anobudelip,395251,2015,1616,291131,24376,122412
anobudelip,395251,2016,1090,256308,18926,111858
anobudelip,395251,2017,848,318301,21756,126131
anobudelip,395251,2018,469,91188,8138,46838
anobudelip,395251,2019,87,20929,1174,11474
anobudelip,395251,2020,94,20229,2754,14695
anpairtinaisiunta,3200684,2016,17,107,10,11
anpairtinaisiunta,3200684,2017,228,3501,469,365
anpairtinaisiunta,3200684,2018,235,11127,2843,2375
anpairtinaisiunta,3200684,2019,634,75710,19723,14799
anpairtinaisiunta,3200684,2020,480,47841,9313,7758
anpairtinaisiunta,3200684,2021,427,25277,4304,3216
ant,7743200,2012,190,123,726,6
ant,7743200,2013,588,2490,4190,65
ant,7743200,2014,578,1744,3281,34
ant,7743200,2015,592,4093,5098,50
ant,7743200,2016,452,2213,2640,21
ant,7743200,2017,425,1548,1566,21
ant,7743200,2018,290,880,1020,14
ant,7743200,2019,214,1488,1068,40
ant,7743200,2020,69,230,170,14
ant,7743200,2021,6,22,2,5
arbeiderpartiet,875504,2012,331,45733,3456,6486
arbeiderpartiet,875504,2013,391,156217,10947,12283
arbeiderpartiet,875504,2014,259,167464,7649,8157
arbeiderpartiet,875504,2015,521,247333,21262,17381
arbeiderpartiet,875504,2016,394,233572,23830,22649
arbeiderpartiet,875504,2017,517,408107,43396,57262
arbeiderpartiet,875504,2018,437,186696,22144,29123
arbeiderpartiet,875504,2019,581,339126,33821,51834
arbeiderpartiet,875504,2020,875,354816,31866,56070
articolo1modempro,2640862,2015,220,1622,539,166
articolo1modempro,2640862,2016,589,23305,6728,2072
articolo1modempro,2640862,2017,696,94295,26587,14837
articolo1modempro,2640862,2018,819,48714,22307,11554
articolo1modempro,2640862,2019,1429,86154,43911,13365
articolo1modempro,2640862,2020,1154,84828,46068,6918
articolo1modempro,2640862,2021,203,18078,5368,1630
ataka.pobeda,1640892,2012,128,4551,1775,901
ataka.pobeda,1640892,2013,446,129374,40802,24068
ataka.pobeda,1640892,2014,336,42992,8206,6708
ataka.pobeda,1640892,2015,161,27814,7838,2539
ataka.pobeda,1640892,2016,231,23794,5870,1903
ataka.pobeda,1640892,2017,550,27422,4824,3059
ataka.pobeda,1640892,2018,442,7429,2686,1515
ataka.pobeda,1640892,2019,545,17888,17989,9398
ataka.pobeda,1640892,2020,114,3898,1577,900
attistibai,474577,2015,2,9,0,5
attistibai,474577,2016,28,70,0,0
attistibai,474577,2017,33,152,0,3
attistibai,474577,2018,143,1863,284,103
attistibai,474577,2019,229,3956,594,300
attistibai,474577,2020,924,21966,6141,1610
attistibai.par,7067956,2018,548,20652,5400,4009
