partyfacts_id,parlgov_id,country,handle,facebook_id,year,total_posts,total_likes,total_shares,total_comments,twitter_handle,author_id,total_tweets,total_likes_tw,total_retweets,total_replies,total_tweets_rt,mean_vote_share,mean_seats,seats_total,cabinet_party_max,prime_minister_max,left_right,populist,farright,farleft,poppa_populism_mean,gps_populism,...1,gdp,pop,unemp,everyday_social_networks_imputed,election_year,keep
223,2,CZE,NA,NA,2009,NA,NA,NA,NA,top09cz,46538880,15,2,0,0,NA,0,0,0,0,0,7.4,0,0,0,0.70751387,2.59259259,61,27662.3,10491492,6.8,14.201870311489,0,1
223,2,CZE,NA,NA,2010,NA,NA,NA,NA,top09cz,46538880,577,149,238,0,41,16.7,38,200,1,0,7.4,0,0,0,0.70751387,2.59259259,62,27787,10517247,7.4,9.8,1,1
223,2,CZE,NA,NA,2011,NA,NA,NA,NA,top09cz,46538880,864,106,338,207,66,16.7,38,200,1,0,7.4,0,0,0,0.70751387,2.59259259,63,28999.8,10496672,6.8,18,0,1
223,2,CZE,top09cz,414108,2012,95,6587,1218,3453,top09cz,46538880,257,65,177,189,12,16.7,38,200,1,0,7.4,0,0,0,0.70751387,2.59259259,64,29258.9,10509286,7,20.7,0,2
223,2,CZE,top09cz,414108,2013,342,80821,12580,25647,top09cz,46538880,280,379,577,420,93,11.99,21,200,0,0,7.4,0,0,0,0.70751387,2.59259259,65,30828.5,10510719,7,23.4,1,2
223,2,CZE,top09cz,414108,2014,339,101190,8993,29586,top09cz,46538880,292,982,580,327,156,11.99,21,200,0,0,7.4,0,0,0,0.70751387,2.59259259,66,32504.2,10524783,6.2,24,0,2
223,2,CZE,top09cz,414108,2015,940,261504,30038,88431,top09cz,46538880,242,1569,639,298,140,11.99,21,200,0,0,7.4,0,0,0,0.70751387,2.59259259,67,33918.4,10542942,5.1,28.3,0,2
223,2,CZE,top09cz,414108,2016,1671,433412,49254,157765,top09cz,46538880,560,8359,1450,1151,770,11.99,21,200,0,0,7.4,0,0,0,0.70751387,2.59259259,68,36097.6,10565284,4,33.3,0,2
223,2,CZE,top09cz,414108,2017,1340,597709,55172,268066,top09cz,46538880,899,37947,4654,5648,821,5.31,7,200,0,0,7.4,0,0,0,0.70751387,2.59259259,69,38991.6,10589526,2.9,32.1,1,2
223,2,CZE,top09cz,414108,2018,980,249276,32189,80671,top09cz,46538880,673,35848,4159,3873,1739,5.31,7,200,0,0,7.4,0,0,0,0.70751387,2.59259259,70,41049.3,10626430,2.3,40.65,0,2
223,2,CZE,top09cz,414108,2019,1007,346629,44499,105665,top09cz,46538880,561,38304,2978,3857,2497,5.31,7,200,0,0,7.4,0,0,0,0.70751387,2.59259259,71,43301.1,10641311,2.1,40.6,0,2
223,2,CZE,top09cz,414108,2020,1825,1001025,160479,335410,top09cz,46538880,266,33929,2874,3265,3961,5.31,7,200,0,0,7.4,0,0,0,0.70751387,2.59259259,72,42044,10693939,2.55,40.6826270890246,0,2
1443,5,ROU,partidulconservator,12065215,2012,169,756,164,32,NA,NA,NA,NA,NA,NA,NA,0,13,412,1,0,4.7622,0,0,0,NA,NA,268,18929.6,20060182,7.1,17.9,0,1
1443,5,ROU,partidulconservator,12065215,2013,42,100,94,11,NA,NA,NA,NA,NA,NA,NA,0,13,412,1,0,4.7622,0,0,0,NA,NA,269,19792.4,19988694,7.4,21.8,0,1
1443,5,ROU,partidulconservator,12065215,2014,39,72,76,4,NA,NA,NA,NA,NA,NA,NA,0,13,412,1,0,4.7622,0,0,0,NA,NA,270,20615.6,19916451,7.1,28.4,0,1
1443,5,ROU,partidulconservator,12065215,2015,149,664,268,19,NA,NA,NA,NA,NA,NA,NA,0,13,412,1,0,4.7622,0,0,0,NA,NA,271,21624.4,19822250,7,30.2,0,1
1443,5,ROU,partidulconservator,12065215,2016,1,3,2,0,NA,NA,NA,NA,NA,NA,NA,0,13,412,1,0,4.7622,0,0,0,NA,NA,272,24311,19706529,6.1,35.6,0,1
764,16,SVN,NA,NA,2010,NA,NA,NA,NA,strankasls,135589298,591,1,12,0,18,5.21,5,90,0,0,6.6953,0,0,0,NA,NA,290,27842.3,2049261,7.4,20.7,0,1
764,16,SVN,NA,NA,2011,NA,NA,NA,NA,strankasls,135589298,1419,13,56,236,94,6.83,6,90,1,0,6.6953,0,0,0,NA,NA,291,28931.4,2052496,8.3,25.5,1,1
764,16,SVN,strankasls,2994737,2012,204,503,39,123,strankasls,135589298,847,54,145,427,200,6.83,6,90,1,0,6.6953,0,0,0,NA,NA,292,29048.3,2056262,9,27.3,0,2
764,16,SVN,strankasls,2994737,2013,423,1459,385,89,strankasls,135589298,1950,327,528,855,357,6.83,6,90,1,0,6.6953,0,0,0,NA,NA,293,29979.6,2059114,10.3,30.7,0,2
764,16,SVN,strankasls,2994737,2014,466,2338,323,124,strankasls,135589298,2855,1079,1946,654,1564,3.95,0,90,1,0,6.6953,0,0,0,NA,NA,294,30872.7,2061623,9.9,30.4,1,2
