country,name_short,partyfacts_id,name_english_x,page_id,handle,country_left,year_first,year_last,share,share_year,see_comments,data_collected,active_2010_or_after,facebook_handle_found,twitter_handle_TF,twitter_handle,D_comments,J_comments,T_comments
BEL,SPA,1680,Socialist Party Differently,NA,vooruit.nu,Belgium,1978,9999,14.9,1987,,FALSE,TRUE,TRUE,TRUE,vooruit,,,
HRV,GLAS,8178,Civic Liberal Alliance,NA,glas.cla,Croatia,2017,9999,2.6,NA,x,FALSE,TRUE,TRUE,TRUE,strankaglas,This is the handle listed on their offical website but Twitter says the account doesn't exist.  Nothing else came up in searches,,
ESP,IU,247,United Left,74858103866,izquierda.unida,Spain,1986,9999,10.5,1996,,TRUE,TRUE,TRUE,TRUE,IzquierdaUnida,,"This is the handle, but the account seems to have been deleted. This is also a coalition and according to Wikipedia, only the Communist Party of Spain is still active in the coalition.",
GBR,BP,7364,Brexit Party,6205175,thereformpartyuk,UK,2018,9999,31.6,2019,,TRUE,TRUE,TRUE,TRUE,reformparty_uk,,"Name has changed to ""Reform Party"", I suppose since Brexit has already happened. I updated their FB handle too, but the old one still leads to their new one.",
BEL,CSP,6688,Christian Social Party,NA,csp.dg,Belgium,1971,9999,3.6,1994,,FALSE,TRUE,TRUE,TRUE,CSPOstbelgien,,,
BGR,R,5862,Revival,NA,vazrazhdane.bg,Bulgaria,2017,9999,1.1,2017,,FALSE,TRUE,TRUE,TRUE,vazrazhdane,,,
BGR,SDS,482,Union of Democratic Forces,NA,sdsbul,Bulgaria,1989,9999,34.4,1991,,FALSE,TRUE,TRUE,FALSE,,link in case it's needed: https://www.facebook.com/%D0%A1%D1%8A%D1%8E%D0%B7-%D0%BD%D0%B0-%D0%94%D0%B5%D0%BC%D0%BE%D0%BA%D1%80%D0%B0%D1%82%D0%B8%D1%87%D0%BD%D0%B8%D1%82%D0%B5-%D0%A1%D0%B8%D0%BB%D0%B8-191375010936/ ,,
BGR,DB,5861,"Yes, Bulgaria!",NA,dabulgaria.bg,Bulgaria,2017,9999,3,2017,,FALSE,TRUE,TRUE,TRUE,BulgariaDA,,,
HRV,HDSSB,2347,Croatian Democratic Alliance of Slavonia and Baranja,NA,hdssb.hr,Croatia,2006,9999,3,2011,,FALSE,TRUE,TRUE,FALSE,,,,
HRV,Hrast,3138,Croatian Growth,NA,hrast.hr,Croatia,2011,9999,2.5,2013,,FALSE,TRUE,TRUE,TRUE,Stranka_Hrast,,,
HRV,HSS,72,Croatian Peasant Party,NA,hss.hrvatska,Croatia,1904,9999,15.6,2000,,FALSE,TRUE,TRUE,TRUE,HSSHrvatska,,,
HRV,SDSS,2348,Independent Democratic Serb Party,NA,samostalna-demokratska-srpska-stranka-sdss-121388167968667,Croatia,1997,9999,1.5,2007,,FALSE,TRUE,TRUE,FALSE,,,,
HRV,NS-R,4866,People's Party - Reformists,NA,narodna.stranka.reformisti,Croatia,2014,9999,1.5,2015,,FALSE,TRUE,TRUE,TRUE,NS_reformisti,,,
HRV,RiDS-PGS,3133,Rijeka Democratic Alliance -- Alliance of Primorje-Gorski Kotar,NA,jadranko.goranski,Croatia,1990,9999,2.8,2011,,FALSE,TRUE,TRUE,FALSE,,,,
HRV,ORaH,3201,Sustainable Development of Croatia,NA,orah.hr,Croatia,2013,9999,1.7,2015,,FALSE,TRUE,TRUE,TRUE,ORaHrvatske,,,
