country,name_short,partyfacts_id,name_english_x,page_id,handle,country_left,year_first,year_last,share,share_year,see_comments,data_collected,active_2010_or_after,facebook_handle_found,twitter_handle_TF,twitter_handle,D_comments,J_comments,T_comments,twitter_handle_lower,author_id
BEL,SPA,1680,Socialist Party Differently,NA,vooruit.nu,Belgium,1978,9999,14.9,1987,NA,FALSE,TRUE,TRUE,TRUE,vooruit,NA,NA,NA,vooruit,7893252
ESP,IU,247,United Left,74858103866,izquierda.unida,Spain,1986,9999,10.5,1996,NA,TRUE,TRUE,TRUE,TRUE,IzquierdaUnida,NA,"This is the handle, but the account seems to have been deleted. This is also a coalition and according to Wikipedia, only the Communist Party of Spain is still active in the coalition.",NA,izquierdaunida,14824411
GBR,BP,7364,Brexit Party,6205175,thereformpartyuk,UK,2018,9999,31.6,2019,NA,TRUE,TRUE,TRUE,TRUE,reformparty_uk,NA,"Name has changed to ""Reform Party"", I suppose since Brexit has already happened. I updated their FB handle too, but the old one still leads to their new one.",NA,reformparty_uk,1094881364887986200
BEL,CSP,6688,Christian Social Party,NA,csp.dg,Belgium,1971,9999,3.6,1994,NA,FALSE,TRUE,TRUE,TRUE,CSPOstbelgien,NA,NA,NA,cspostbelgien,1652725850
BGR,R,5862,Revival,NA,vazrazhdane.bg,Bulgaria,2017,9999,1.1,2017,NA,FALSE,TRUE,TRUE,TRUE,vazrazhdane,NA,NA,NA,vazrazhdane,858254942280314900
BGR,DB,5861,"Yes, Bulgaria!",NA,dabulgaria.bg,Bulgaria,2017,9999,3,2017,NA,FALSE,TRUE,TRUE,TRUE,BulgariaDA,NA,NA,NA,bulgariada,808227134867177500
HRV,HSS,72,Croatian Peasant Party,NA,hss.hrvatska,Croatia,1904,9999,15.6,2000,NA,FALSE,TRUE,TRUE,TRUE,HSSHrvatska,NA,NA,NA,hsshrvatska,777789978768269300
HRV,NS-R,4866,People's Party - Reformists,NA,narodna.stranka.reformisti,Croatia,2014,9999,1.5,2015,NA,FALSE,TRUE,TRUE,TRUE,NS_reformisti,NA,NA,NA,ns_reformisti,3542965397
HRV,ORaH,3201,Sustainable Development of Croatia,NA,orah.hr,Croatia,2013,9999,1.7,2015,NA,FALSE,TRUE,TRUE,TRUE,ORaHrvatske,NA,NA,NA,orahrvatske,2173745456
FRA,PA,7343,Animalist Party,NA,parti.animaliste,France,2016,9999,2.2,2019,NA,FALSE,TRUE,TRUE,TRUE,PartiAnimaliste,NA,NA,NA,partianimaliste,4396594342
DEU,ODP,7345,Ecological Democratic Party,NA,oedp.de,Germany,1982,9999,1,2019,NA,FALSE,TRUE,TRUE,TRUE,oedp_de,NA,NA,NA,oedp_de,117395471
GRC,MR25,7348,European Realistic Disobedience Front [MeRa25],NA,mera25.gr,Greece,2018,9999,3.4,2019,NA,FALSE,TRUE,TRUE,TRUE,mera25_gr,NA,NA,NA,mera25_gr,964483974440595500
GRC,Antarsya,95,Front of the Greek Anticapitalist Left,NA,ANT,Greece,2009,9999,1.2,2012,NA,FALSE,TRUE,TRUE,TRUE,ANTARSYAPress,NA,NA,NA,antarsyapress,535244030
GRC,PASOK,1468,Panhellenic Socialist Movement,NA,pasok.gr,Greece,1974,9999,48.1,1981,NA,FALSE,TRUE,TRUE,TRUE,pasok,NA,NA,NA,pasok,10701602
ITA,PRC,1404,Communist Refoundation Party,NA,rifondazione.comunista,Italy,1992,9999,8.6,1996,NA,FALSE,TRUE,TRUE,TRUE,direzioneprc,NA,NA,NA,direzioneprc,24184892
ITA,PdCI,1635,Party of Italian Communists,NA,partitocomunistaitaliano,Italy,2001,2014,2.2,2006,NA,FALSE,TRUE,TRUE,TRUE,ilPCI,"Apparently this party has been thru a few name confirgurations, but this should be the most recent one, arrivate at in 2014",NA,NA,ilpci,4458375135
HUN,Fidesz,1691,Fidesz – Hungarian Civic Alliance,5458001,fideszhu,Hungary,1988,9999,41.1,2002,NA,TRUE,TRUE,TRUE,TRUE,Fideszmpsz,FB handle was incorrect - has been updated with the correct one,NA,NA,fideszmpsz,94963212
HUN,MM,8249,Momentum Movement,12065205,momentum.mozgalom,Hungary,2017,9999,3.1,2018,NA,TRUE,TRUE,TRUE,TRUE,momentumhu,NA,NA,NA,momentumhu,828640729090097200
ITA,M5S,2046,Five Star Movement,374785,movimento5stelle,Italy,2009,9999,25.6,2013,x,TRUE,TRUE,TRUE,TRUE,Mov5Stelle,"FB handle was incorrect, I updated it",NA,NA,mov5stelle,289400495
LTU,LRLS,1744,Liberals' Movement of the Republic of Lithuania,81004804444,liberalai,Lithuania,2008,9999,8.6,2012,NA,TRUE,TRUE,TRUE,TRUE,liberalai,NA,NA,NA,liberalai,40254263
LUX,CSV,539,Christian Social People's Party,56016549775,csv.lu,Luxembourg,1944,9999,42.4,1954,NA,TRUE,TRUE,TRUE,TRUE,CSV_news,NA,NA,NA,csv_news,1622094828
LUX,DP,300,Democratic Party,281000000000000,demokrateschpartei,Luxembourg,1945,9999,22.2,1974,NA,TRUE,TRUE,TRUE,TRUE,dp_lu,NA,NA,NA,dp_lu,821247049
LUX,PID,2064,Party for Full Democracy,841000000000000,parteifirintegraldemokratie,Luxembourg,2013,9999,1.5,2013,NA,TRUE,TRUE,TRUE,TRUE,pid_lu,NA,NA,NA,pid_lu,2163722870
LUX,VL,7353,Volt Luxembourg,766000000000000,voltluxembourg,Luxembourg,2017,9999,2.1,2019,X,TRUE,TRUE,TRUE,TRUE,voltluxembourg,NA,Still not convinced this is an actual party (like Volt NL),NA,voltluxembourg,10184100777059e5
NLD,50+,714,50PLUS,348000000000000,50PLUSpartij,Netherlands,2009,9999,1.9,2012,NA,TRUE,TRUE,TRUE,TRUE,50pluspartij,NA,NA,NA,50pluspartij,223455196
NLD,CDA,1157,Christian Democratic Appeal,320000000000,kiescda,Netherlands,1980,9999,35.3,1989,NA,TRUE,TRUE,TRUE,TRUE,cdavandaag,NA,NA,NA,cdavandaag,23770198
NLD,D66,45,Democrats 66,52985377549,d66,Netherlands,1966,9999,15.5,1994,NA,TRUE,TRUE,TRUE,TRUE,D66,NA,NA,NA,d66,28076891
NLD,PVV,298,Party for Freedom,NA,partijvoordevrijheid,NLD,2006,9999,15.4,2010,X,TRUE,TRUE,TRUE,TRUE,PVV2021,NA,NA,NA,pvv2021,576580179
NLD,VVD,828,People's Party for Freedom and Democracy,121000000000000,vvd,Netherlands,1948,9999,26.6,2012,NA,TRUE,TRUE,TRUE,TRUE,VVD,NA,NA,NA,vvd,7599192
NLD,SP,1363,Socialist Party,128000000000,socialistischepartij,Netherlands,1971,9999,16.6,2006,NA,TRUE,TRUE,TRUE,TRUE,SPnl,NA,NA,NA,spnl,17289752
NLD,VN,7355,Volt Netherlands,714689,voltnederland,Netherlands,2018,9999,1.9,2019,x,TRUE,TRUE,TRUE,TRUE,VoltNederland,NA,I think this is a political organization but not an actual political party. Just flagging that.,NA,voltnederland,966790780869316600
NOR,Kp,677,Coastal Party,278000000000000,kystpartiet,Norway,1999,9999,1.7,2001,NA,TRUE,TRUE,TRUE,TRUE,Kystpartiet,NA,NA,NA,kystpartiet,63310797
NOR,V,1173,Liberal Party of Norway,10254410675,venstre.no,Norway,1884,9999,54,1900,NA,TRUE,TRUE,TRUE,TRUE,Venstre,NA,NA,NA,venstre,14997025
POL,KORWIN,4629,Coalition for the Renewal of the Republic – Liberty and Hope,167e13,korwin1.koszalin,Poland,2015,9999,4.8,2015,NA,TRUE,TRUE,TRUE,TRUE,Partia_KORWiN,NA,NA,NA,partia_korwin,2981372711
POL,KNP,4713,Congress of the New Right,205000000000000,kongresnowejprawicy,Poland,2011,9999,1.1,2011,NA,TRUE,TRUE,TRUE,TRUE,NowaPrawica,NA,NA,NA,nowaprawica,246351917
POL,SLD,57,Democratic Left Alliance,NA,nowaalewica,Poland,1991,9999,41,2001,X,TRUE,TRUE,TRUE,TRUE,__Lewica,NA,This party changed its name to Nowa Lewica. Updated FB and Twitter handles here.,NA,__lewica,66324459
POL,PD,1566,Democratic Party,NA,demokracipl,Poland,2005,2016,13.2,2007,NA,TRUE,TRUE,TRUE,TRUE,UniaEuroDem,NA,NA,NA,uniaeurodem,778492718892867600
POL,MN,1439,German minority,NA,deutscheminderheitinoppeln,Poland,1991,9999,1.2,1991,X,TRUE,TRUE,TRUE,TRUE,NiemcywPolsce,NA,"This political party (German minority) seems to be tied to a German Heritage organization FB page (the party's website FB widget leads to the FB handle). I can't exactly tell if the party is involved in posting on this page, but most of it seems to be about german cultural events in Poland. Not sure if we want to use this.",It also appears to be the same FB page as the following row. Not sure what to do here but let's keep it for now,niemcywpolsce,3298412525
POL,Razem,4871,[Left] Together,430000000000000,partiarazem,Poland,2015,9999,3.6,2015,NA,TRUE,TRUE,TRUE,TRUE,partiarazem,NA,NA,NA,partiarazem,3104219584
POL,PR,876,Republic Right Party,263000000000,prawicarzeczypospolitej,Poland,2007,9999,2,2009,NA,TRUE,TRUE,TRUE,TRUE,Prawica_Rz,NA,NA,NA,prawica_rz,282519312
POL,SRP,727,Self-Defense of the Republic Poland,518000000000000,zzrsamoobrona,Poland,1992,9999,11.4,2005,NA,TRUE,TRUE,TRUE,TRUE,samoobronaorgpl,NA,This looks like their official account but it only has one tweet and very few followers,NA,samoobronaorgpl,1039421972533395500
PRT,CDS/PP,1308,Democratic and Social Center / People's Party,815000000000000,cdspp,Portugal,1975,9999,16.8,1976,NA,TRUE,TRUE,TRUE,TRUE,_CDSPP,NA,NA,NA,_cdspp,19334929
PRT,CH,8182,Enough,199e13,partidochegaoficial,Portugal,2019,9999,1.3,2019,NA,TRUE,TRUE,TRUE,TRUE,PartidoCHEGA,NA,NA,NA,partidochega,1070088307894349800
PRT,PDR,4513,Republican Democratic Party,206000000000000,pdr.portugal,Portugal,2014,9999,1.2,2015,NA,TRUE,TRUE,TRUE,TRUE,PDR_PT,NA,NA,NA,pdr_pt,1235692834864468e3
PRT,NC,7358,"We, the Citizens!",15e14,noscidadaos,Portugal,2015,9999,1.1,2019,NA,TRUE,TRUE,TRUE,TRUE,NOSCIDADAOS,NA,NA,NA,noscidadaos,2514634590
