country,timezone
AUT,Europe/Vienna
BEL,Europe/Brussels
BGR,Europe/Sofia
HRV,Europe/Zagreb
CZE,Europe/Prague
DNK,Europe/Copenhagen
EST,Europe/Tallinn
FIN,Europe/Helsinki
FRA,Europe/Paris
DEU,Europe/Berlin
GRC,Europe/Athens
HUN,Europe/Budapest
ITA,Europe/Rome
LVA,Europe/Riga
LTU,Europe/Vilnius
LUX,Europe/Luxembourg
NLD,Europe/Amsterdam
NOR,Europe/Oslo
POL,Europe/Warsaw
PRT,Europe/Lisbon
ROU,Europe/Bucharest
SVK,Europe/Bratislava
SVN,Europe/Ljubljana
ESP,Europe/Madrid
SWE,Europe/Stockholm
CHE,Europe/Zurich
GBR,Europe/London
MLT,Europe/Malta
IRL,Europe/Dublin
NIR,Europe/Belfast
