partyfacts_id,parlgov_id,partyfacts_name,partyfacts_country,facebook_handle,twitter_handle,JE Comments
8178,N/A,GLAS,HRV,glas.cla,strankaglas,ParlGov doesn't seem to have any record of this party (maybe they interpret it as an alliance and therefore do not list it?)
744,1436,LL,ITA,legasalvinipremier,legasalvini,
6688,119,CSP,BEL,csp.dg,CSPOstbelgien,
1657,872,SPR–RSČ,CZE,sprrsc.cz,,
7343,2733,PA,FRA,parti.animaliste,PartiAnimaliste,
8359,N/A,PG,FRA,partidegauche.national,LePG,The wikipedia page for the party says they have not yet run independently in an election (I believe they have been running with Front de Gauche) so this is probably why they are not in the ParlGov database.
7345,2736,ODP,DEU,oedp.de,oedp_de,
2278,2153,CD,ITA,centro.democratico.ita,,
8247,N/A,PaP,ITA,poterealpopolo.org,potere_alpopolo,"This party ran as an electoral list (coalition) in the 2018 election and received 0% of the vote, probably why they aren't listed on Parlgov."
8249,2659,MM,HUN,momentum.mozgalom,momentumhu,
1702,2417,LZS,LVA,lzsropazi,,
8257,N/A,ULL,LTU,uzlietuvalietuvoje,,Seems like this was a temporary coalition.
6738,N/A,List,LTU,ltsarasas,,"This party gained one parliamentary seat in 2016 (which ParlGov recognizes in their election data), but they still don't have a profile for the party. Perhaps because it is too small?"
8256,N/A,LLP,LTU,lietuvosliaudiespartija,,No seats in parliament -- only on the municipal level.
8258,N/A,LSDS,LTU,lietuvossocialdemokratusajunga,,Same as above -- never had seats in parliament.
7353,2766,VL,LUX,voltluxembourg,voltluxembourg,
7355,2735,VN,NLD,voltnederland,VoltNederland,
1079,27,NKP,NOR,norgeskommunistiskeparti,,
4713,1549,KNP,POL,kongresnowejprawicy,NowaPrawica,
876,1283,PR,POL,prawicarzeczypospolitej,Prawica_Rz,
387,889,ID,PRT,intervencaodemocratica1987,,
7358,2758,NC,PRT,noscidadaos,NOSCIDADAOS,
1106,375,POUS/PST,PRT,pous4,,
7033,N/A,PV,ROU,partidul.verde,verzii,No seats in parliament -- might be too small for ParlGov to recognize.
2132,2391,NaS-NS,SVK,narod.a.spravodlivost,strana_NaS,
6686,2803,NOVA,SVK,novavacsina,,
3204,2385,SS,SVN,dasanjskasluzba,SanjskaSluzba,
946,1221,PAR,ESP,partidoaragones,AragonPAR,
6027,N/A,PDeCAT,ESP,pdemocratacat,Pdemocratacat,Do not seem to have run independently in any nationwide election.
5623,N/A,CC,ESP,coaliciocompromis,compromis,Coalition of independent parties -- ParlGov doesn't list it as it's own party.
8186,118,PCE,ESP,elpce,elpce,"This party has been part of United Left (Izquierda Unida) since 1986 and the ParlGov IDs are the same for this party pre- and post-merge with United Left. Since they have their own social media accounts separate from United Left, we may want to keep it for analysis but I'm not sure?"
8185,N/A,PCPE,ESP,pcpe.web,webpcpe,Has not run independently in any successful elections.
4796,N/A,UDC,ESP,unio.cat,,Only ran in nationwide elections with the CiU coalition (ParlGov ID 894) -- not listed in ParlGov as its own party.
1260,2330,ICV,ESP,iniciativapercatalunyaverds,iniciativa,
722,N/A,UPN,ESP,uniondelpueblonavarro,upn_navarra,Have only run regionally in Navarro and are the regional branch of PP.
6632,N/A,PSOE-A,ESP,psoe.andalucia,psoedeandalucia,Andalusian branch of PSOE (which has only run for regional office); isn't recognized as an independent party by ParlGov.
449,N/A,EU,ESP,extremaduraunida,exunida,Same here -- regional party.
1231,26,FDP,CHE,fdp.dieliberalen,FDP_Liberalen,
4885,N/A,CoPA,GBR,coopparty,CoopParty,"This party has run alongside/with Labour since 1927, so they do not seem to be counted as an independent party (separate from Labour) in ParlGov. "
1675,2062,ED,GBR,www.engdem.org,EnglishDemocrat,
8240,N/A,GP-NI,GBR,greenparty,GreenPartyNI,Has only run locally and is not registered by ParlGov.
2050,N/A,IN,GBR,anpairtinaisiunta,NationalPartyIE,"I believe this is a very old party  (circa late 1800s). The FB and Twitter handles are for the Nationalist Party in Ireland, not the Irish Nationalist Party. "
6687,N/A,SGP,GBR,scottishgreens,scotgp,Can't find this on ParlGov.
1798,137,Z,DEU,zentrumspartei,zentrum1870,
7031,465,SEL,ITA,SinistraEcologiaELibertaEuropa,SI_sinistra,
1277,2064,SLP,GBR,socialistlabourpartyGB,slp_gb,
1044,1292,VAS,FIN,vasemmisto,vasemmisto,
2338,1192,CDH,BEL,lecdh,lecdh,
5458,N/A,HKDS,HRV,demokrscanihds,HdsHrvatska,"Can't find this party on ParlGov. Seems to have only run in elections as part of a coalition until the EP election in 2019, so ParlGov may not have registered them as an independent party because of that. "
3706,N/A,HSP-AS,HRV,hspAnteStarcevic,,Has been the member of multiple coalitions but never ran independently.
3136,2186,AM,HRV,akcijamladih,AkcijaMladih,
2142,2220,KAN,CZE,KANoficialni,,
1127,2042,LIDEM,CZE,stranakonzervativnipravice,,
7337,2739,H,CZE,hnutihlas,hnutihlas,
6651,74,Siumut,DNK,partiisiumut,,
