country,partyfacts_id,parlgov_id,gps_populism,gps_salience,gps_willofpeople,gps_peopledecide,gps_politicianscorrupt,gps_strongman
AUT,1329,1013,6.76923077,8.38461538,4.84615385,5.93333333,2.0625,4.25
AUT,463,50,9,9.61111111,2.66666667,3.2,8.07142857,7
AUT,1970,2255,2.25,2.3125,5.4,4,2.55555556,1.22222222
AUT,6137,2651,3.77777778,5.7,4,3.11111111,7.44444444,1
AUT,1384,973,3.35294118,3.75,5.16666667,5.35714286,2.125,1.93333333
AUT,1659,1429,1.85,2.33333333,5.21428571,3,1.75,1
BEL,604,723,2.6,3.5,5,7,2.16666667,3.625
BEL,1968,993,9.25,9.08333333,1.66666667,1.125,9.33333333,6.14285714
BEL,789,915,3.27272727,3.8,5.6,5.66666667,2,3.14285714
BEL,528,1594,2.18181818,2.8,4.33333333,2,2.5,2.2
BEL,2338,1192,2.77777778,3.44444444,5.25,NA,2.42857143,3.125
BEL,36,501,7.85714286,7.16666667,2.875,6.25,3.75,6.14285714
BEL,49,1110,2.72727273,3.5,5.71428571,4.8,2.28571429,3
BEL,500,1378,3.22222222,4,5.5,5,2.42857143,3.625
BEL,1680,1029,2.44444444,3.1,5.5,5,2.57142857,3
BEL,1753,256,8,8.54545455,3.33333333,1.8,8.875,2.33333333
BGR,757,982,7.125,7.625,3,2.42857143,7.8,3.5
BGR,760,1541,6.42857143,8,4.125,4.42857143,4,7.28571429
BGR,982,1286,4,5,5.14285714,6.2,2.66666667,4.75
BGR,6115,NA,9.44444444,9.88888889,2.625,4.33333333,8.85714286,7.83333333
BGR,5863,2637,9.5,9.25,2.57142857,4.75,9,6
CHE,1808,531,2.85714286,2.28571429,5.2,2.5,1.42857143,2.3
CHE,1415,1213,4.88888889,3.75,5.42857143,3.55555556,2.3,1.16666667
CHE,1123,602,3.375,2.45454545,5.875,1.85714286,1.5,2
CHE,1231,26,3.07142857,2.21428571,4.9,2.45454545,1.42857143,2.4
CHE,1759,308,2.07142857,2,5.58333333,2.41666667,1.57142857,2.2
CHE,1006,141,1.54545455,2.16666667,5.45454545,1.63636364,1.78571429,2.2
CHE,29,35,3.33333333,2.63636364,3.91666667,1.54545455,1.57142857,2.18181818
