country_id,party,party_id,cee,ches_id,family,cmp_id,parlgov_id,manichean,indivisble,generalwill,peoplecentrism,antielitism,complex,emotional,lroverall,lrecon,immigration,eu,nativism,laworder,lifestyle,intradem,personalised,nr_experts,mean_expert_response,populism
12,FDP,1207,0,303,3,41420,543,3.4444444,1.4375,1.6470588,2.6666667,1,5.8125,4.0555553,6.2777777,8.166667,4.352941,6.2222223,3.5555556,3.0555556,7.4444447,4.111111,8.611111,18,17.5625,2.51E-07
5,IDS,510,1,3106,8,81953,1627,2.4285715,2.142857,2.2857144,2,1.25,6,2.857143,3,5.25,7,9.285714,1,1.5,7.714286,4,5.571429,8,7.4375,0.01468345
24,MOST,2407,1,2813,8,96955,1620,3.0833333,2.7272727,1.8333334,2.25,2.4545455,7.7,3.4166667,5.909091,6.1666665,5.5833335,9,2.0833333,3.3333333,6.3333335,6.111111,6.9166665,12,11.5,0.331313
19,D66,1904,0,1004,3,22330,345,3.3333333,1.3076923,1.75,3.6153846,1.5384616,7.5833335,5.25,5.5833335,6.6153846,6.6153846,9.076923,1.5,3.0769231,9.230769,7.8333335,5.6923075,13,12.5625,0.39211383
7,STAN,707,1,2116,9,82610,2024,3.5454545,2.909091,2.4545455,2,1.6363636,7.1,3.4545455,6.181818,6.4545455,5.181818,8.636364,2.2727273,3.090909,6.3333335,7.7777777,4.4545455,11,10.625,0.5669879
7,TOP09,704,1,2109,2,82530,2,3.4545455,3.1818182,2.7272727,2.2727273,1.2727273,7.8,3.8181818,8.181818,8,5.4545455,9.181818,2,2.5454545,6,6.4545455,6.090909,11,10.9375,0.70751387
12,CDU,1201,0,301,4,NA,808,3.2777777,3.4117646,3.0588236,1.8888888,1.2777778,7.352941,3.6666667,5.7222223,6.3333335,4.5,7.7777777,5.611111,6.3333335,3.8888888,3.9444444,7.9444447,18,17.8125,0.7614486
19,CU,1908,0,1016,10,22526,1206,5.5833335,2.7,2.1818182,1.8181819,1.4615384,6.6,3.5833333,4.8333335,4.5384617,5.4166665,3.8888888,4.0833335,5,2.4615386,7.2,3.6923077,13,11.0625,0.86796725
21,N,2104,1,2618,3,NA,2601,3.3,2.8,2.5,2.8,2.6,6.6,4.3,5.7,8.1,6,9.2,1.4,2.4,7.4,6.8,5.4,10,9.875,0.9485442
5,HNS,504,1,3105,3,81712,1384,3.375,2.5,3.125,2.625,1.625,7.25,2.5714285,4.5,5.625,5.571429,8.625,2.375,2.375,6.625,4.125,5.375,8,7.875,1.0242273
7,ODS,710,1,2102,2,82413,829,3.7272727,3.4545455,2.8181818,2.5454545,1.8181819,7.3,4.3636365,8.181818,8.545455,2.090909,3.6363637,6,5.4545455,3.4545455,6.5454545,5.2727275,11,10.9375,1.0525616
19,GL,1905,0,1005,7,22110,756,4.076923,0.84615386,1.8333334,4.230769,2.8461537,6.8333335,6.1666665,2.0833333,2.1538463,7.8461537,8.230769,0.8333333,1.5384616,9.538462,8.181818,6.6923075,13,12.5625,1.0649506
29,LD,2904,0,1104,3,51421,659,3,2.1,2.5,3.5454545,2.909091,7,4,4.5454545,4.7272725,7.7272725,8.636364,1.2727273,2.1818182,8.636364,6.909091,5.1,11,10.625,1.0771714
7,KDUCSL,705,1,2104,4,82523,1245,3.6363637,3.2727273,2.909091,2.8181818,1.6363636,7.3,3.4545455,6,5.4545455,4.6363635,8.454545,3.6363637,4,2.090909,7,4.3636365,11,10.9375,1.0948206
17,LRLS,1704,1,2518,3,88450,482,4.3333335,2.3333333,2.6666667,3,1.6666666,6.1666665,4.5,7.5,9,6,8.166667,3.3333333,2.5,7.6666665,6.2,4.8333335,6,5.9375,1.1275138
5,HSLS,502,1,3104,3,81410,1102,4.125,2.875,3.25,1.875,1.625,6.875,2.4285715,5.375,6,5.3333335,8.428572,4,3.5,5.875,3.4285715,5,8,7.6875,1.1302036
19,SGP,1911,0,1006,10,22952,1251,7.6363635,3.4444444,2.1111112,0.8888889,1.3333334,7.625,2.9166667,8.25,7.5,2.1666667,2.2222223,8.090909,7.923077,0.07692308,4.142857,2.9230769,13,10.75,1.1761736
1,NEOS,105,0,1306,3,42430,2255,3.5833333,1.9230769,2.3846154,3.6923077,3.5384614,6,4.3846154,6,7.4615383,6.076923,9.230769,1.9230769,1.6153846,8.153846,7.6666665,6.3076925,13,12.875,1.339997
19,PvdA,1907,0,1002,5,22320,742,3.6153846,2.5384614,2.6666667,4.1538463,2.1538463,7.0833335,4.6666665,3.9166667,3.3846154,5.6153846,6.3846154,2.7272727,4.076923,8.083333,7.090909,4.8461537,13,12.4375,1.3673048
2,OVLD,203,0,107,3,21421,1110,2.7692308,2.357143,3,4.357143,2.4285715,6.642857,4.428571,6.571429,8.071428,4.357143,8.5,4.3846154,4.285714,8.214286,6.6923075,5.428571,14,13.8125,1.4224911
5,HSU,505,1,NA,9,81957,2134,2.7142856,2.7142856,3.142857,3.6666667,2.857143,5.142857,3.5714285,4.125,3,NA,7.1666665,3,3.8,5,3.2,4.714286,8,6.375,1.4292911
12,B90Grune,1206,0,304,7,41113,772,4.2777777,1.2352941,2.0588236,4,3.8888888,6.5882354,5.2222223,3.1666667,3.5,8.176471,8.777778,0.9444444,1.5,8.888889,7.7222223,4.4444447,18,17.6875,1.4529701
8,B,807,0,202,3,13410,211,5.5,2.3333333,2.8888888,2.2,2.1818182,6.75,4.3333335,4.818182,5.6363635,8.090909,8.909091,1.7,2.6363637,8.363636,5.909091,5.6363635,11,10.25,1.4738218
28,BDP,2807,0,3612,2,43811,1213,2.1,2.9,2.8888888,5.5,2.2,5.3333335,4.2,6.1,6,4.7,4.6666665,4.111111,3.9,4.2,6.2,4.7,10,9.4375,1.4768863
1,Gruene,104,0,1304,7,42110,1429,4.1666665,1.9230769,2.3076923,3.7692308,3.5384614,7,4.6153846,2.6923077,2.6153846,8.076923,8.769231,0.6923077,1.3076923,8.384615,8.153846,3.1538463,13,12.9375,1.4776975
