author_id,twitter_handle,year,total_tweets,total_likes_tw,total_retweets,total_replies,total_tweets_rt
3796501,Centerpartiet,2009,220,2,0,0,21
3796501,Centerpartiet,2010,70,7,45,0,14
3796501,Centerpartiet,2011,344,9,465,37,19
3796501,Centerpartiet,2012,328,75,521,188,35
3796501,Centerpartiet,2013,1655,577,1910,1057,335
3796501,Centerpartiet,2014,3660,5733,7014,3346,262
3796501,Centerpartiet,2015,1618,7900,7209,2661,303
3796501,Centerpartiet,2016,1581,11516,7126,2356,466
3796501,Centerpartiet,2017,1274,24974,10725,5053,408
3796501,Centerpartiet,2018,1481,34020,10794,14297,294
3796501,Centerpartiet,2019,460,14122,3232,11162,304
3796501,Centerpartiet,2020,921,16418,3479,17649,967
3796501,Centerpartiet,2021,317,9528,1553,8309,366
3801501,socialdemokrat,2009,878,14,0,1,367
3801501,socialdemokrat,2010,318,19,288,0,104
3801501,socialdemokrat,2011,699,103,1107,210,76
3801501,socialdemokrat,2012,840,409,3039,552,153
3801501,socialdemokrat,2013,1291,1965,5087,1555,263
3801501,socialdemokrat,2014,2602,19586,23084,6319,718
3801501,socialdemokrat,2015,1576,13032,9289,5187,2933
3801501,socialdemokrat,2016,1166,16162,9839,4539,2574
3801501,socialdemokrat,2017,694,27329,10342,9878,2023
3801501,socialdemokrat,2018,1560,65223,19330,28406,1566
3801501,socialdemokrat,2019,402,21229,4896,21614,167
3801501,socialdemokrat,2020,335,25976,4772,38145,77
3801501,socialdemokrat,2021,252,21261,3358,35810,42
5680622,LibDems,2009,396,29,0,0,86
5680622,LibDems,2010,105,59,634,0,36
5680622,LibDems,2011,211,108,1139,246,96
5680622,LibDems,2012,182,98,1509,629,529
5680622,LibDems,2013,661,447,3161,2252,1120
5680622,LibDems,2014,3501,7642,22947,9899,2321
5680622,LibDems,2015,8249,39886,81689,22315,3882
5680622,LibDems,2016,1494,49372,45392,6544,1469
5680622,LibDems,2017,2836,262423,206256,26116,2163
5680622,LibDems,2018,1774,296132,181284,25690,910
5680622,LibDems,2019,3011,1047546,443354,148259,1111
5680622,LibDems,2020,2176,280778,156309,30546,1153
5680622,LibDems,2021,689,103942,43986,7624,628
5956402,workersparty,2009,4,0,0,0,NA
5956402,workersparty,2010,36,0,13,0,6
5956402,workersparty,2011,6,1,9,0,1
5956402,workersparty,2012,15,0,20,0,2
5956402,workersparty,2013,7,4,2,0,NA
5956402,workersparty,2015,1,2,1,0,NA
5956402,workersparty,2016,419,833,799,35,196
5956402,workersparty,2017,388,1374,1077,65,187
5956402,workersparty,2018,586,3007,1478,150,204
5956402,workersparty,2019,834,4558,1635,221,254
5956402,workersparty,2020,690,3727,1433,154,160
5956402,workersparty,2021,201,1325,345,78,44
6751502,labour,2009,406,5,0,1,17
6751502,labour,2010,333,13,353,0,71
6751502,labour,2011,1373,118,1456,128,356
6751502,labour,2012,671,68,957,481,378
6751502,labour,2013,1085,360,1460,607,1258
6751502,labour,2014,1629,1847,3947,1641,2181
6751502,labour,2015,2349,9056,12577,4903,2628
6751502,labour,2016,4218,22752,22375,8746,3165
6751502,labour,2017,2280,21138,13750,3279,3612
6751502,labour,2018,1277,30969,13427,2971,3325
6751502,labour,2019,1009,22561,8681,2423,2642
6751502,labour,2020,1459,42614,15103,3299,2102
6751502,labour,2021,782,21412,6901,1821,1007
7014182,jetzt,2009,899,13,0,0,NA
7014182,jetzt,2010,744,48,206,1,NA
7014182,jetzt,2011,1856,285,753,50,NA
7014182,jetzt,2012,1942,417,928,88,1
7014182,jetzt,2013,1526,1030,1736,295,63
7014182,jetzt,2014,1324,2588,2820,438,229
7014182,jetzt,2015,1047,3548,2652,352,554
7014182,jetzt,2016,1772,10797,6150,829,229
7014182,jetzt,2017,2419,14440,5654,1127,159
